Storetype,Lang,Q2a,Q2b,Q3a,Q3b,Q3c,Q3d,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q4h,Q4i,Q4j,Q5,Q6,Q7,Q8a,Q8d,Q8c,Q8e,Q8b,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
1,2,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,1,1,4,4,4,4,4,1,5,1,2,1,2,2,84088
1,2,5,5,3,3,3,3,1,1,5,5,5,5,5,5,5,5,1,2,,1,3,1,1,1,2,5,2,2,2,3,2,
1,2,5,1,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,2,3,2,4,2,2,5,1,2,2,2,2,84043
1,2,3,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,,3,4,1,,4,,5,1,2,1,5,2,
1,2,1,1,5,,3,5,1,1,,,,,,,,,5,2,,1,,3,2,,,5,2,1,2,2,,84106
1,2,5,3,5,6,6,6,5,2,5,5,4,5,5,5,4,5,3,1,1,2,2,1,4,1,2,5,2,2,2,2,1,84335
1,2,5,,3,6,5,3,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,2,3,1,1,5,1,2,1,2,1,84318
1,2,3,3,4,4,6,6,2,2,2,3,2,4,3,3,3,3,4,2,,2,1,1,2,1,1,5,2,2,1,1,2,
1,2,2,1,2,5,5,5,4,4,4,3,3,3,3,3,3,4,3,1,1,3,3,2,3,3,1,1,1,1,2,1,1,84318
1,2,5,3,5,6,6,5,5,1,5,5,5,1,1,5,1,5,,1,3,1,3,1,3,2,2,5,2,2,2,2,,84721
1,2,1,,1,,,,5,,,1,,,,,,,,1,2,4,,,,,2,,2,1,1,5,,84720
1,2,5,,5,,,,1,5,1,5,5,5,5,5,5,5,,1,2,3,1,4,3,2,1,5,1,2,2,3,,84721
1,2,1,1,4,4,4,4,5,2,4,5,5,5,5,5,5,5,,2,,2,4,2,4,2,2,2,1,2,2,3,1,84790
1,2,3,2,1,2,2,2,3,1,5,2,5,5,4,4,3,4,,2,,4,3,2,2,3,2,4,2,2,1,3,4,84720
1,2,3,3,5,4,5,6,1,1,1,3,3,1,1,4,3,4,,1,2,1,3,1,2,2,2,1,2,2,2,2,2,84721
1,2,3,,4,,,,5,4,4,5,4,2,3,3,2,3,,1,2,1,,,,,,,,,,,,
1,2,4,5,5,6,3,2,5,5,5,5,5,5,5,5,5,5,3,1,1,4,3,3,4,3,1,3,2,2,2,2,2,84095
1,2,1,1,3,3,4,4,2,2,2,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,4,1,1,2,2,1,84095
2,2,5,5,5,6,6,6,5,3,3,5,5,3,5,5,5,5,5,1,2,1,1,1,4,1,2,5,2,2,1,5,2,84010
2,2,3,3,5,5,5,5,1,1,1,1,1,4,2,2,1,1,5,1,2,1,1,1,1,1,2,5,2,2,1,2,1,84106
2,2,2,1,3,6,6,6,5,4,5,5,5,5,4,5,2,5,1,1,2,2,3,1,1,1,2,4,2,2,1,2,2,84010
2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,1,1,1,5,1,2,1,2,,84041
2,2,4,4,4,5,5,3,3,2,3,3,2,2,3,2,2,5,3,1,1,2,3,2,3,1,2,4,2,2,2,3,3,84015
2,2,3,3,3,2,1,2,4,2,3,5,4,3,3,3,3,4,3,1,1,2,2,2,1,3,2,3,2,2,1,1,1,84041
2,2,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,4,4,4,4,4,2,5,2,2,2,1,1,84128
2,2,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,4,,,,,2,5,2,2,1,3,2,84120
2,2,5,5,3,3,6,6,3,2,5,5,4,5,5,5,4,5,5,1,1,3,3,2,4,1,2,5,1,2,1,1,1,84128
2,2,1,1,5,6,6,6,1,3,3,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,2,5,1,2,1,3,1,84119
2,2,4,3,4,4,1,1,4,4,4,4,4,4,4,4,4,4,5,1,1,1,1,1,3,1,1,4,1,2,1,2,1,84119
2,2,2,3,5,6,6,6,5,4,4,5,4,5,5,5,5,5,5,1,1,1,1,1,3,1,2,5,2,2,2,2,1,84120
2,2,,,6,,,,5,,,,,,,,,,5,1,2,,,,2,,2,3,2,1,1,2,,84128
2,2,4,5,5,5,5,,1,1,1,5,1,5,4,1,1,5,5,1,2,1,1,1,4,2,2,5,2,2,2,4,3,84120
2,2,3,3,6,6,3,6,5,5,5,5,5,5,5,5,1,5,5,1,2,3,4,2,4,3,2,4,1,2,2,1,2,84120
2,2,1,1,1,1,3,3,5,5,5,5,5,5,5,5,5,5,5,1,2,3,1,1,1,1,2,5,2,2,1,1,1,84119
2,2,2,2,4,6,2,2,5,5,5,4,5,5,5,5,5,5,5,1,1,3,3,1,3,3,2,4,1,2,1,3,3,84044
2,2,4,3,6,3,4,4,3,1,1,3,4,4,5,4,5,5,4,2,,2,2,1,1,1,2,4,2,2,2,2,1,84120
2,2,,,3,3,3,3,5,3,5,5,5,5,5,4,1,5,3,1,2,,,,,2,2,4,2,2,1,2,1,84120
2,2,5,5,3,3,3,3,2,2,2,3,3,2,2,2,3,3,3,2,,2,2,2,2,2,1,2,1,1,1,2,1,84120
2,2,4,3,4,3,5,4,5,5,5,4,4,5,5,5,5,5,3,1,1,1,2,2,3,2,2,3,2,2,1,3,4,84120
2,2,1,1,3,3,6,6,3,1,5,5,4,5,5,5,5,5,3,1,2,1,2,1,3,1,2,3,2,1,2,2,2,84128
2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,2,2,2,1,2,1,2,5,2,2,2,2,1,84128
2,2,5,5,5,,,6,4,,4,,4,5,4,4,,5,2,2,,1,3,1,2,2,2,4,1,2,1,2,,
2,2,1,1,3,,,,5,,5,5,,,,,5,5,1,1,1,1,,,,,2,5,1,2,1,3,4,84123
2,2,5,2,1,6,4,4,1,5,3,4,3,5,5,5,5,5,1,1,1,1,1,1,3,1,2,4,1,2,1,5,1,84119
2,2,5,5,1,5,5,6,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,1,1,2,3,2,2,1,1,1,84120
2,2,4,2,2,6,4,6,4,2,4,5,5,5,5,5,5,5,1,2,,1,1,1,1,1,2,3,2,2,1,5,1,84444
2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,84118
2,2,3,1,3,1,3,6,,,,,,,,,,,1,1,2,3,4,2,4,3,2,3,2,2,1,2,2,84120
2,2,5,3,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,1,1,1,2,1,2,2,1,5,1,2,2,3,2,84119
2,2,3,1,4,6,4,4,3,4,4,5,5,5,5,5,5,4,5,1,1,2,2,2,3,1,2,4,1,2,1,3,1,84128
2,2,5,5,5,5,5,5,1,1,1,5,1,5,1,5,1,5,1,1,1,2,1,1,2,3,1,5,1,2,2,4,1,84118
2,2,1,3,3,3,5,5,5,4,5,3,4,4,4,4,4,5,1,1,2,,3,3,2,3,2,1,2,2,1,3,1,84044
2,2,5,3,6,6,6,6,1,1,5,1,5,5,5,5,5,5,5,1,1,1,2,2,4,2,1,3,1,2,1,3,1,84319
2,2,3,,3,,,,1,2,,5,5,5,5,1,1,2,5,1,2,4,,1,4,,1,5,1,2,1,5,1,
2,2,3,3,5,5,5,3,2,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,3,1,2,5,1,2,1,4,2,84321
2,2,5,4,5,4,5,4,3,3,2,5,3,5,5,3,3,5,5,1,1,1,3,1,4,2,2,5,1,2,1,4,1,84321
2,2,5,3,3,5,6,6,3,1,3,1,3,5,1,1,1,5,5,1,1,2,2,1,3,2,2,5,1,2,2,4,1,84321
2,2,5,,5,,,,1,5,2,3,5,2,3,3,5,3,5,1,1,1,4,3,4,3,2,5,1,1,1,3,1,84321
2,2,1,,,,,,5,5,5,5,5,5,4,4,2,5,5,1,,1,1,1,3,1,2,5,2,2,1,2,1,84321
2,2,1,,3,6,3,3,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,2,5,1,2,1,4,1,84319
2,2,3,,3,6,5,5,5,5,5,5,5,5,5,5,1,5,4,1,1,1,3,3,3,2,2,5,1,2,1,3,4,84321
2,2,1,3,5,6,5,3,4,4,1,1,2,3,1,4,4,1,2,1,2,1,2,1,3,1,2,4,2,2,1,3,1,84319
2,2,5,5,5,6,5,5,2,2,2,2,2,4,4,2,4,5,2,1,2,1,3,1,3,1,1,5,2,2,1,3,2,84321
2,2,5,5,5,5,5,5,5,4,1,2,2,5,4,2,2,5,1,1,1,2,1,2,3,2,2,5,2,1,1,2,3,84321
2,2,5,5,1,6,1,6,1,1,5,1,1,5,5,5,5,5,,1,2,1,1,1,1,1,1,1,2,2,1,2,4,84341
2,2,3,5,3,6,6,6,3,3,3,3,3,5,1,3,,1,,1,2,,,,,,2,5,1,2,2,1,,84321
3,2,3,3,3,3,6,6,4,4,4,5,5,5,5,4,5,5,,1,1,1,2,1,4,1,1,4,1,2,1,3,4,84104
1,1,3,3,3,3,3,3,5,4,4,3,3,5,2,3,4,5,5,1,1,1,1,2,4,1,1,3,1,2,2,2,3,84121
1,1,3,1,2,6,3,6,5,5,5,4,4,5,3,3,3,4,5,1,5,1,4,4,3,2,2,4,2,2,1,1,2,84121
1,1,1,1,3,2,4,3,5,1,2,5,5,5,5,5,5,5,5,2,,2,4,4,4,2,2,5,1,1,1,4,3,84093
1,1,2,2,4,4,4,3,5,5,4,4,4,5,4,4,2,5,5,1,1,1,1,1,3,1,1,4,1,2,1,5,4,84121
1,1,3,1,3,6,6,6,4,3,3,3,3,5,5,5,4,5,5,1,1,1,3,1,3,1,2,5,1,2,1,5,1,84084
1,1,1,1,5,1,6,6,5,2,3,1,5,5,5,5,5,4,5,1,1,1,1,1,1,1,2,3,1,2,1,3,4,84171
1,1,4,3,5,4,4,3,3,4,2,2,3,2,2,4,3,3,5,1,1,2,3,4,2,3,1,4,1,1,1,2,3,84309
1,1,2,2,5,6,4,4,3,2,2,4,3,3,4,4,4,3,5,1,1,3,3,1,4,1,1,4,1,2,1,5,2,84121
1,1,4,2,5,,5,5,5,5,1,2,5,5,5,5,5,4,5,1,1,1,,1,4,1,1,5,1,,1,5,2,84121
1,1,4,2,5,6,5,5,5,3,4,4,5,5,5,4,5,4,5,1,1,4,4,4,4,3,1,4,1,2,1,2,3,84121
1,1,,3,5,6,5,5,4,3,1,4,3,4,3,4,4,1,5,1,3,2,3,3,3,1,1,5,1,2,1,5,3,84070
1,1,1,1,3,2,5,4,5,3,5,5,5,5,5,5,5,5,5,1,1,1,4,1,4,1,2,3,1,2,2,3,4,84121
1,1,1,2,5,4,5,2,5,4,4,5,5,5,4,4,4,4,5,1,1,2,4,3,4,3,1,4,1,2,2,5,4,84106
1,1,4,2,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,1,2,1,4,4,4,1,2,4,2,1,1,1,3,84121
1,1,3,4,3,4,4,2,4,4,5,5,5,5,5,5,5,5,5,1,1,2,4,4,3,2,2,4,1,2,2,3,4,84121
1,1,2,2,5,5,5,5,3,3,3,3,3,3,4,4,4,4,5,1,1,3,2,2,4,2,2,4,1,2,2,5,4,84121
1,1,2,1,4,6,5,4,5,3,4,4,4,5,5,4,3,5,5,1,1,1,4,1,4,1,2,4,1,2,1,5,3,84047
1,1,1,1,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,1,1,2,4,2,4,2,2,3,1,2,1,5,4,84117
1,1,2,2,5,5,5,2,4,2,4,3,3,5,5,5,5,5,5,1,2,3,4,4,4,3,1,3,2,1,2,3,3,84121
1,1,4,5,4,4,4,4,4,3,3,4,4,5,5,4,4,4,5,1,1,3,3,4,4,2,2,4,1,2,2,3,4,84121
1,1,3,5,5,6,5,6,5,1,1,1,3,5,5,3,5,5,5,2,,2,4,3,3,2,1,3,1,2,2,3,3,84121
1,1,1,1,5,3,4,2,5,4,3,5,5,5,5,5,5,5,5,2,,1,4,3,2,1,2,5,1,2,1,4,3,84121
1,1,1,1,5,3,6,2,5,4,5,5,5,5,5,5,5,5,5,1,3,,3,3,4,3,1,5,1,2,1,5,4,
1,1,5,3,5,5,5,5,4,1,4,5,5,5,5,5,5,5,5,1,1,2,2,1,2,1,1,5,1,2,1,5,2,84117
1,1,3,5,5,6,1,1,5,3,5,5,4,5,5,5,4,5,5,1,1,2,4,2,4,3,1,5,1,2,1,5,3,84121
1,1,5,3,5,5,5,5,4,3,3,4,4,5,4,5,4,4,5,1,1,2,3,3,4,3,1,4,1,1,2,2,4,84081
1,1,1,1,5,5,5,5,5,2,3,4,5,5,5,5,5,5,5,1,1,1,4,1,4,1,1,5,1,2,1,3,4,84121
1,1,3,3,6,3,3,3,5,2,2,1,1,5,4,3,3,3,5,1,1,3,4,2,4,1,1,4,1,2,1,1,4,84093
1,1,4,3,5,3,3,3,,,,,,,,,,,5,1,1,1,3,2,2,1,1,5,1,2,1,3,3,84121
1,1,2,1,4,3,3,2,5,4,5,4,5,5,5,5,5,5,5,1,3,2,3,1,3,1,2,4,1,2,1,5,4,84121
1,1,,,4,5,5,4,3,2,4,3,3,5,5,3,4,5,5,1,1,1,4,2,4,2,1,4,1,2,1,5,2,84047
1,1,4,1,6,6,6,6,5,2,3,5,4,3,2,1,3,5,5,1,1,2,3,3,2,1,2,4,2,1,2,1,3,84121
1,1,2,1,4,4,4,3,5,1,5,5,5,5,5,5,5,5,5,1,1,2,4,4,3,3,2,3,1,2,2,2,3,84121
1,1,2,1,5,6,6,6,4,3,3,3,,5,4,3,3,4,5,1,1,1,1,1,4,1,2,5,1,2,1,5,1,84092
1,1,2,1,5,6,3,2,5,4,2,2,5,5,4,4,4,5,5,1,1,4,3,1,4,4,,5,1,2,2,5,3,84121
1,1,2,2,5,6,4,4,4,3,2,3,3,1,2,5,1,1,5,1,1,1,4,2,2,1,1,2,1,2,2,5,3,84092
1,1,3,2,5,4,5,2,4,2,5,4,4,5,5,5,5,5,5,1,1,1,4,3,2,1,1,5,1,2,2,3,3,84121
1,1,4,3,5,5,3,3,4,3,1,3,3,4,4,3,3,2,5,1,1,2,4,3,3,1,1,4,1,2,2,4,4,84093
1,1,2,1,5,6,4,2,4,2,4,5,5,5,5,5,4,5,5,1,3,4,4,2,2,3,2,5,1,2,1,3,4,84047
1,1,1,1,3,3,3,2,3,2,3,3,3,4,3,3,3,2,5,1,1,4,3,3,4,3,2,3,1,1,1,4,4,84121
1,1,2,1,5,3,2,1,4,4,4,4,4,4,4,4,4,4,5,1,1,3,3,3,4,4,1,4,1,2,1,4,1,84121
1,1,1,1,4,4,4,3,5,2,4,3,4,5,5,5,5,5,5,1,1,1,4,1,3,1,1,4,2,2,2,4,2,84121
1,1,2,1,5,6,5,2,2,4,2,5,5,4,4,5,5,4,5,1,1,4,4,4,4,4,2,5,1,2,2,4,3,84121
1,1,2,2,5,2,5,4,5,4,5,5,5,5,5,5,5,3,5,1,1,3,3,3,4,3,2,3,1,2,2,4,3,84121
1,1,1,1,5,3,5,3,5,2,3,5,5,5,5,5,5,5,5,1,1,2,4,4,4,2,1,5,1,2,1,4,3,84121
1,1,4,4,5,6,5,2,1,2,4,3,1,1,3,2,2,1,5,1,1,,,,,,,,,,,,,
1,1,5,2,5,6,5,3,5,3,4,4,5,5,5,5,4,4,5,1,1,,1,1,3,4,1,5,1,2,2,5,4,84121
1,1,1,1,5,3,6,6,5,3,2,3,3,4,4,4,4,4,5,1,1,1,1,1,1,1,1,5,1,2,1,5,4,84109
1,1,2,2,5,4,5,5,4,2,2,4,3,4,4,4,4,3,5,1,1,2,3,3,3,3,2,5,1,2,1,4,2,84121
1,1,1,1,3,3,4,2,5,3,5,3,5,5,5,5,5,5,5,1,1,4,4,4,3,1,2,4,1,2,1,4,4,84093
1,1,1,1,4,5,4,2,5,2,4,5,5,5,5,5,5,5,5,1,1,3,4,1,4,3,1,3,1,2,1,4,2,84121
1,1,4,2,5,4,4,4,4,3,4,4,4,4,5,5,5,4,5,1,1,4,1,1,3,1,1,4,1,2,1,5,2,84121
1,1,3,3,5,6,6,6,4,2,2,4,,3,3,3,3,2,5,1,1,2,2,1,3,2,2,5,1,2,1,5,1,84121
1,1,4,2,6,6,4,4,,,,,,,,,,,5,1,1,2,1,3,4,1,2,5,1,2,1,5,3,84093
1,1,4,3,5,6,6,2,3,3,3,3,3,4,4,4,5,3,5,1,1,1,3,2,3,1,2,4,2,2,2,2,3,84121
1,1,3,2,5,4,5,5,4,1,2,4,4,5,4,4,2,5,5,1,1,3,3,3,1,4,1,5,2,2,2,1,3,84121
1,1,2,1,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,1,1,2,4,4,4,3,2,3,1,2,1,4,4,84121
1,1,2,1,5,5,5,2,5,3,5,5,5,5,5,5,4,5,5,1,1,2,3,3,4,2,1,5,1,2,2,4,3,84093
1,1,4,1,5,3,4,3,5,3,3,2,4,4,4,3,5,5,5,1,1,2,3,2,4,3,1,5,1,1,1,5,3,84121
1,1,1,1,2,2,2,2,4,3,5,4,4,5,5,5,4,5,5,1,1,2,3,1,3,2,1,3,1,2,1,2,3,84121
1,1,3,3,2,6,6,6,4,3,4,5,4,5,4,4,5,1,5,1,1,4,3,4,2,2,1,4,1,2,1,2,3,84121
1,1,2,1,5,6,2,2,5,3,3,3,3,5,5,5,5,5,5,1,3,1,3,1,1,1,1,4,1,2,1,2,2,84047
1,1,4,,5,4,4,4,2,4,4,1,4,4,4,5,4,4,5,1,1,3,4,2,4,3,2,5,1,2,2,4,4,84121
1,1,1,1,4,4,2,2,5,4,5,5,3,5,4,5,5,5,5,1,1,1,3,3,4,1,2,3,1,2,1,5,3,84121
1,1,3,2,4,5,2,3,4,2,3,2,3,4,3,4,4,4,5,1,1,2,3,1,4,1,1,4,1,2,2,3,4,84117
1,1,2,2,3,3,5,5,4,3,3,5,2,5,5,5,5,3,5,1,1,1,4,4,4,3,2,4,1,2,1,2,2,84070
1,1,3,1,5,6,5,6,5,3,5,5,5,5,4,5,4,5,5,1,3,1,3,4,4,1,2,5,1,2,1,5,3,84070
1,1,4,2,4,6,6,6,5,1,3,5,3,5,5,5,5,5,5,1,1,3,4,3,1,1,1,4,2,2,2,1,2,84106
1,1,1,1,5,6,5,5,5,3,2,3,3,5,4,4,4,4,5,1,1,1,3,1,4,1,1,4,1,2,2,4,1,84121
1,1,4,1,5,6,3,1,5,3,4,4,4,5,5,5,5,5,5,1,1,1,4,3,4,1,2,3,1,2,1,5,2,84094
1,1,5,5,3,3,5,3,5,2,2,5,4,5,5,5,4,5,5,1,1,2,3,2,4,2,2,3,1,2,2,5,3,84121
1,1,2,1,4,6,3,2,5,4,4,5,3,3,5,4,4,3,5,1,1,2,3,3,4,2,1,3,1,2,2,4,1,84095
1,1,2,1,5,6,5,6,5,1,4,4,4,5,4,5,5,5,5,1,3,2,4,2,4,2,2,2,1,2,1,,4,84047
1,1,4,3,5,4,4,4,1,2,2,3,2,1,2,2,1,1,5,1,1,1,3,2,4,2,1,5,1,2,2,2,2,84065
1,1,3,1,5,5,5,5,5,2,4,4,4,5,5,5,4,2,5,1,1,3,3,2,4,3,1,5,1,2,2,3,2,84044
1,1,1,1,3,2,5,3,5,3,5,5,5,5,5,5,5,5,5,2,,1,4,1,2,4,2,1,2,1,2,1,3,84107
1,1,2,1,3,6,6,6,5,5,5,5,5,5,5,5,5,5,5,1,1,3,4,4,4,3,1,5,1,2,1,3,3,84121
1,1,1,1,4,4,5,2,5,3,5,5,5,5,5,5,5,5,5,1,1,1,4,4,4,2,1,5,1,2,2,3,3,84121
1,1,5,3,3,3,3,3,5,3,5,3,3,4,4,4,4,5,5,1,1,3,3,1,1,1,1,5,2,2,2,1,2,84121
1,1,2,1,5,6,5,4,4,3,4,4,5,5,5,5,5,5,5,1,1,2,4,2,4,2,1,5,1,1,1,5,4,84121
1,1,2,1,5,6,4,3,5,1,3,3,4,5,5,5,4,4,5,1,1,2,4,4,2,3,,4,1,2,2,2,3,84121
1,1,1,1,5,6,5,6,5,1,2,4,5,5,5,5,5,4,5,1,1,1,4,3,4,2,2,4,1,2,1,2,3,84121
1,1,1,1,5,3,5,2,5,5,5,5,5,5,5,5,5,5,5,1,1,2,3,3,3,3,1,4,1,1,2,3,2,84121
1,1,4,2,5,4,5,4,5,2,3,5,3,4,4,4,4,3,5,1,1,3,4,3,4,4,2,5,1,2,2,3,2,84121
1,1,2,1,4,6,4,2,4,4,4,4,4,5,4,5,5,5,5,1,1,2,4,3,4,1,2,5,1,2,2,5,4,84109
1,1,5,5,4,5,5,3,1,1,1,1,1,3,1,1,1,1,5,1,1,1,2,1,3,2,2,1,2,2,2,2,3,84121
1,1,1,2,5,6,4,4,2,2,1,2,2,3,3,2,2,4,5,1,1,1,3,3,4,1,2,5,1,2,2,5,3,84121
1,1,3,1,2,3,3,3,3,2,5,4,4,5,5,5,4,4,5,1,2,2,4,1,2,3,1,3,2,2,1,1,2,84121
1,1,5,4,5,3,5,3,2,2,1,3,2,3,2,2,3,4,5,1,1,4,4,4,4,4,1,5,1,2,2,5,2,84121
1,1,2,1,5,4,5,3,5,3,3,3,5,5,5,5,5,4,5,1,1,1,3,3,4,1,2,4,1,2,2,5,4,84121
1,1,2,1,5,6,5,2,4,2,2,5,4,3,4,2,2,4,5,1,1,1,3,2,4,1,1,5,1,2,2,3,4,84121
1,1,3,2,5,6,6,6,2,2,3,3,3,4,5,5,5,3,5,1,1,1,2,1,3,1,1,3,1,2,1,5,2,84121
1,1,3,1,5,3,5,5,5,3,5,5,5,4,5,5,5,4,5,1,1,2,4,3,4,3,1,5,1,2,1,4,3,84121
1,1,2,2,4,4,4,4,5,4,4,4,4,5,5,5,5,5,5,1,1,3,3,4,3,2,1,3,1,2,1,3,3,84094
1,1,2,2,3,3,3,3,4,3,4,1,2,4,4,4,4,2,5,1,1,3,3,4,4,4,1,4,1,2,1,3,2,84121
1,1,3,1,4,3,4,4,4,3,2,5,3,5,4,4,3,5,5,1,1,1,2,1,4,2,2,4,1,2,2,5,1,84121
1,1,4,4,5,4,4,4,4,4,3,4,5,4,4,4,3,4,5,1,1,2,3,1,1,2,2,5,1,1,2,5,3,84121
1,1,4,4,6,6,4,4,1,3,4,4,3,4,4,3,2,1,5,1,2,2,2,3,1,2,1,4,2,2,2,1,1,84121
1,1,3,,5,3,5,2,3,1,1,3,2,4,5,3,3,2,5,1,1,1,2,2,3,2,1,5,1,2,2,5,4,
1,1,1,3,4,6,4,6,3,3,3,3,3,4,5,5,4,5,5,1,3,1,2,3,1,1,2,4,2,2,2,2,4,84121
1,1,1,1,3,3,6,6,5,3,4,5,3,5,5,5,5,1,5,1,1,1,,1,4,1,1,5,1,2,1,4,1,84047
1,1,3,3,5,6,5,6,4,3,2,3,3,5,4,3,3,5,5,1,1,1,4,2,4,1,1,5,1,2,1,4,2,84121
1,1,2,2,1,3,3,5,5,2,4,3,3,4,5,5,5,3,5,1,1,1,4,4,4,1,2,4,1,2,1,3,3,84121
1,1,1,1,3,3,6,6,,,,,,,,,,,5,1,1,1,3,1,4,1,2,3,1,2,1,5,1,84121
1,1,2,2,5,4,4,4,5,5,5,5,5,5,4,3,1,5,5,1,4,2,4,2,4,4,2,5,1,2,2,1,3,84121
1,1,5,3,4,3,3,4,4,4,5,5,3,5,4,4,4,5,5,1,1,1,4,1,4,2,1,5,1,2,1,2,2,84121
1,1,1,1,4,4,4,5,5,1,5,5,5,5,5,5,4,3,5,1,1,1,4,1,4,1,1,5,1,2,2,5,2,84117
1,1,1,1,3,3,1,1,5,2,4,3,5,5,5,5,5,5,5,1,1,2,4,,4,2,1,5,1,2,1,3,2,84106
1,1,3,3,4,4,4,4,5,3,4,5,5,3,3,5,3,2,5,1,1,4,4,3,3,4,1,5,1,2,2,2,3,84121
